n,sign,q,value,factors,prime,rough_squarefree_P2
1010,-1,41,1020059,1020059,1,1
1010,-1,43,1020057,3*71*4789,0,0
1012,1,3,1024147,31*33037,0,1
1012,1,5,1024149,3*7*7*6967,0,0
1012,1,7,1024151,1024151,1,1
1012,1,11,1024155,3*3*5*11*2069,0,0
1012,1,13,1024157,19*19*2837,0,0
1012,1,17,1024161,3*487*701,0,0
1012,1,19,1024163,7*146309,0,1
1012,1,23,1024167,3*23*14843,0,0
1012,1,29,1024173,3*3*113797,0,0
1012,1,31,1024175,5*5*71*577,0,0
1012,1,37,1024181,59*17359,0,1
1012,1,41,1024185,3*5*68279,0,0
1012,1,43,1024187,439*2333,0,1
1012,-1,3,1024141,937*1093,0,1
1012,-1,5,1024139,41*24979,0,1
1012,-1,7,1024137,3*3*3*83*457,0,0
1012,-1,11,1024133,11*93103,0,1
1012,-1,13,1024131,3*17*43*467,0,0
1012,-1,17,1024127,13*78779,0,1
1012,-1,19,1024125,3*5*5*5*2731,0,0
1012,-1,23,1024121,7*23*6361,0,0
1012,-1,29,1024115,5*239*857,0,0
1012,-1,31,1024113,3*541*631,0,0
1012,-1,37,1024107,3*7*48767,0,0
1012,-1,41,1024103,1024103,1,1
1012,-1,43,1024101,3*3*13*8753,0,0
1014,1,3,1028199,3*342733,0,0
1014,1,5,1028201,1028201,1,1
1014,1,7,1028203,11*211*443,0,0
1014,1,11,1028207,1028207,1,1
1014,1,13,1028209,7*13*11299,0,0
1014,1,17,1028213,1028213,1,1
1014,1,19,1028215,5*23*8941,0,0
1014,1,23,1028219,47*131*167,0,0
1014,1,29,1028225,5*5*11*3739,0,0
1014,1,31,1028227,379*2713,0,1
1014,1,37,1028233,199*5167,0,1
1014,1,41,1028237,7*146891,0,1
1014,1,43,1028239,31*41*809,0,0
1014,-1,3,1028193,3*37*59*157,0,0
1014,-1,5,1028191,1028191,1,1
1014,-1,7,1028189,1028189,1,1
1014,-1,11,1028185,5*19*79*137,0,0
1014,-1,13,1028183,13*139*569,0,0
1014,-1,17,1028179,281*3659,0,1
1014,-1,19,1028177,17*31*1951,0,0
1014,-1,23,1028173,43*23911,0,1
1014,-1,29,1028167,7*7*20983,0,0
1014,-1,31,1028165,5*205633,0,0
1014,-1,37,1028159,11*151*619,0,0
1014,-1,41,1028155,5*61*3371,0,0
1014,-1,43,1028153,7*191*769,0,0
1016,1,3,1032259,1032259,1,1
1016,1,5,1032261,3*47*7321,0,0
1016,1,7,1032263,23*37*1213,0,0
1016,1,11,1032267,3*223*1543,0,0
1016,1,13,1032269,7*31*67*71,0,0
1016,1,17,1032273,3*3*11*10427,0,0
1016,1,19,1032275,5*5*157*263,0,0
1016,1,23,1032279,3*163*2111,0,0
1016,1,29,1032285,3*5*68819,0,0
1016,1,31,1032287,1032287,1,1
1016,1,37,1032293,73*79*179,0,0
1016,1,41,1032297,3*7*49157,0,0
1016,1,43,1032299,1032299,1,1
1016,-1,3,1032253,577*1789,0,1
1016,-1,5,1032251,11*11*19*449,0,0
1016,-1,7,1032249,3*344083,0,0
